timestamp,link,utilization_percent,weight
2025-11-20 15:30:45,s3-s2,3.65,498.95512214660647
2025-11-20 15:30:45,s1-s3,3.49,498.95494262695314
2025-11-20 15:30:45,s3-s1,3.63,498.95494262695314
2025-11-20 15:30:48,s1-s2,1.44,498.93444892883304
2025-11-20 15:30:48,s2-s1,6.72,498.93444892883304
2025-11-20 15:30:48,s2-s3,2.83,498.94833404541015
2025-11-20 15:30:48,s3-s2,1.27,498.94833404541015
2025-11-20 15:30:48,s1-s3,1.28,498.9327930450439
2025-11-20 15:30:48,s3-s1,1.28,498.9327930450439
2025-11-20 15:30:51,s1-s2,1.30,498.933014755249
2025-11-20 15:30:51,s2-s1,1.30,498.933014755249
2025-11-20 15:30:51,s2-s3,1.29,498.9329312133789
2025-11-20 15:30:51,s3-s2,1.29,498.9329312133789
2025-11-20 15:30:51,s1-s3,1.31,498.9330667114258
2025-11-20 15:30:51,s3-s1,1.31,498.9330667114258
2025-11-20 15:30:55,s1-s2,1.35,498.93353927612304
2025-11-20 15:30:55,s2-s1,1.35,498.93353927612304
2025-11-20 15:30:55,s2-s3,1.36,498.93357246398926
2025-11-20 15:30:55,s3-s2,1.35,498.93357246398926
2025-11-20 15:30:55,s1-s3,1.35,498.93349746704104
2025-11-20 15:30:55,s3-s1,1.36,498.93349746704104
2025-11-20 15:30:58,s1-s2,1.27,498.93265441894533
2025-11-20 15:30:58,s2-s1,1.27,498.93265441894533
2025-11-20 15:30:58,s2-s3,1.27,498.9326904296875
2025-11-20 15:30:58,s3-s2,1.26,498.9326904296875
2025-11-20 15:30:58,s1-s3,1.27,498.9326703643799
2025-11-20 15:30:58,s3-s1,1.27,498.9326703643799
2025-11-20 15:31:01,s1-s2,1.32,498.9331800842285
2025-11-20 15:31:01,s2-s1,1.32,498.9331800842285
2025-11-20 15:31:01,s2-s3,1.32,498.93324890136716
2025-11-20 15:31:01,s3-s2,1.32,498.93324890136716
2025-11-20 15:31:01,s1-s3,1.32,498.9332257080078
2025-11-20 15:31:01,s3-s1,1.32,498.9332257080078
2025-11-20 15:31:05,s1-s2,1.31,498.9331147003174
2025-11-20 15:31:05,s2-s1,1.31,498.9331147003174
2025-11-20 15:31:05,s2-s3,1.32,498.93319686889646
2025-11-20 15:31:05,s3-s2,1.31,498.93319686889646
2025-11-20 15:31:05,s1-s3,1.32,498.9332112121582
2025-11-20 15:31:05,s3-s1,1.32,498.9332112121582
2025-11-20 15:31:08,s1-s2,1.32,498.933158493042
2025-11-20 15:31:08,s2-s1,1.31,498.933158493042
2025-11-20 15:31:08,s2-s3,1.32,498.933179473877
2025-11-20 15:31:08,s3-s2,1.32,498.933179473877
2025-11-20 15:31:08,s1-s3,1.32,498.93317573547364
2025-11-20 15:31:08,s3-s1,1.32,498.93317573547364
2025-11-20 15:31:11,s1-s2,1.29,498.9329471588135
2025-11-20 15:31:11,s2-s1,1.29,498.9329471588135
2025-11-20 15:31:11,s2-s3,1.29,498.9329454803467
2025-11-20 15:31:11,s3-s2,1.29,498.9329454803467
2025-11-20 15:31:11,s1-s3,1.30,498.9329566192627
2025-11-20 15:31:11,s3-s1,1.30,498.9329566192627
2025-11-20 15:31:15,s1-s2,1.32,498.93316818237304
2025-11-20 15:31:15,s2-s1,1.32,498.93316818237304
2025-11-20 15:31:15,s2-s3,1.31,498.9330728149414
2025-11-20 15:31:15,s3-s2,1.30,498.9330728149414
2025-11-20 15:31:15,s1-s3,1.32,498.9332452392578
2025-11-20 15:31:15,s3-s1,1.30,498.9332452392578
2025-11-20 15:31:18,s1-s2,1.29,498.9328754425049
2025-11-20 15:31:18,s2-s1,1.30,498.9328754425049
2025-11-20 15:31:18,s2-s3,1.29,498.93294998168943
2025-11-20 15:31:18,s3-s2,1.29,498.93294998168943
2025-11-20 15:31:18,s1-s3,1.29,498.93294219970704
2025-11-20 15:31:18,s3-s1,1.29,498.93294219970704
2025-11-20 15:31:22,s1-s2,1.31,498.93306594848633
